time,value
2024-04-02T02:42:08.038,0.5939
2024-04-02T02:42:23.968,0.5921
2024-04-02T02:42:39.441,0.5884
2024-04-02T02:42:41.395,0.5871
2024-04-02T02:42:50.923,0.5896
2024-04-02T02:43:09.980,0.5908
2024-04-02T02:43:35.788,0.5939
2024-04-02T02:44:02.142,0.5959
2024-04-02T02:44:29.546,0.5951
2024-04-02T02:44:59.759,0.5948
2024-04-02T02:45:31.344,0.5938
2024-04-02T02:46:00.823,0.5975
2024-04-02T02:46:52.533,0.5977
2024-04-02T02:47:39.301,0.599
2024-04-02T02:48:47.508,0.5971
2024-04-02T02:50:25.598,0.5981
2024-04-02T02:53:30.445,0.5987
2024-04-02T02:55:02.125,0.599
2024-04-02T02:56:44.036,0.5999
2024-04-02T02:59:03.170,0.5988
2024-04-02T03:01:42.912,0.6007
2024-04-02T03:04:32.523,0.6008
2024-04-02T03:07:25.110,0.6006
2024-04-02T03:11:08.517,0.6002
2024-04-02T03:14:32.368,0.5986
2024-04-02T03:16:42.752,0.5974
2024-04-02T03:18:41.585,0.5984
2024-04-02T03:21:26.551,0.5964
2024-04-02T03:22:58.089,0.5981
2024-04-02T03:26:01.722,0.5975
2024-04-02T03:30:44.363,0.5976
2024-04-02T03:33:58.110,0.5961
2024-04-02T03:37:01.233,0.5987
2024-04-02T03:42:08.812,0.5963
2024-04-02T03:45:52.786,0.5968
2024-04-02T03:50:47.662,0.5946
2024-04-02T03:56:28.999,0.5957
2024-04-02T04:01:17.861,0.5958
2024-04-02T04:06:42.015,0.598
2024-04-02T04:12:19.888,0.5956
2024-04-02T04:17:20.637,0.5974
2024-04-02T04:24:07.770,0.5966
2024-04-02T04:30:47.810,0.5986
2024-04-02T04:37:02.175,0.599
2024-04-02T04:44:09.053,0.5983
2024-04-02T04:50:35.808,0.5956
2024-04-02T04:58:06.541,0.5956
2024-04-02T05:06:59.819,0.5961
2024-04-02T05:12:10.151,0.594
2024-04-02T05:16:03.071,0.5924
2024-04-02T05:18:10.489,0.5918
2024-04-02T05:19:38.283,0.59
2024-04-02T05:21:07.131,0.5889
2024-04-02T05:24:05.030,0.5908
2024-04-02T05:30:00.657,0.5899
2024-04-02T05:35:12.039,0.5905
2024-04-02T05:43:23.421,0.5926
2024-04-02T05:51:13.542,0.5927
2024-04-02T05:57:46.021,0.5946
2024-04-02T06:04:31.057,0.5951
2024-04-02T06:12:55.213,0.5957
2024-04-02T06:21:55.726,0.5967
2024-04-02T06:28:04.377,0.598
2024-04-02T06:32:45.273,0.5989
2024-04-02T06:43:37.378,0.5997
2024-04-02T06:49:22.681,0.6007
2024-04-02T06:56:52.461,0.5997
2024-04-02T07:02:50.060,0.5999
2024-04-02T07:13:16.860,0.5985
2024-04-02T07:22:28.445,0.601
2024-04-02T07:29:35.815,0.5993
2024-04-02T07:38:19.774,0.5975
